individ,treatment,fluorescence,intorule,x21,zeroed
90,sheared_DNA,,,37,35.14316755
92,sheared_DNA,,,32,30.14316755
2,sheared_DNA,,,43,41.14316755
3,sheared_DNA,,,35,33.14316755
7,sheared_DNA,,,37,35.14316755
9,sheared_DNA,,,32,30.14316755
14,sheared_DNA,,,36,34.14316755
15,sheared_DNA,,,37,35.14316755
16,sheared_DNA,,,42,40.14316755
17,sheared_DNA,,,45,43.14316755
18,sheared_DNA,,,47,45.14316755
22,sheared_DNA,,,39,37.14316755
23,sheared_DNA,,,40,38.14316755
24,sheared_DNA,,,42,40.14316755
25,sheared_DNA,,,38,36.14316755
26,sheared_DNA,,,38,36.14316755
28,sheared_DNA,,,44,42.14316755
29,sheared_DNA,,,34,32.14316755
32,sheared_DNA,,,42,40.14316755
35,sheared_DNA,,,37,35.14316755
90,Milli_Q,8859,0.067700753,1.421715807,1.701247428
92,Milli_Q,12680,0.147149333,3.090135984,2.984687507
2,Milli_Q,5049,-0.011519108,-0.241901277,0.766092858
3,Milli_Q,2092,-0.073002869,-1.533060257,0.147731739
7,Milli_Q,4548,-0.021936208,-0.460660373,0.60911813
9,Milli_Q,19591,0.290847091,6.107788913,3.711397951
14,Milli_Q,5685,0.001704994,0.035804882,0.862545955
15,Milli_Q,32620,0.561754065,11.79683536,7.047058892
16,Milli_Q,15848,0.213020335,4.473427039,2.588158108
17,Milli_Q,21135,0.322950888,6.781968645,4.518711415
18,Milli_Q,11784,0.12851915,2.69890215,0.908049897
22,Milli_Q,50219,0.927683287,19.48134902,14.07062013
23,Milli_Q,3681,-0.039963405,-0.839231505,0.395887766
24,Milli_Q,17569,0.248804425,5.224892918,2.339759301
25,Milli_Q,7080,0.030710692,0.644924523,1.243676154
26,Milli_Q,21347,0.327358922,6.874537364,4.447576823
28,Milli_Q,2161,-0.071568179,-1.502931759,0.118632801
29,Milli_Q,9705,0.085291305,1.791117395,0.917206178
32,Milli_Q,35587,0.623445752,13.09236079,7.189640223
35,Milli_Q,4556,-0.021769867,-0.457167214,0.551405813
90,Soap,1463,-0.086081424,-1.807709901,0.01191357
92,Soap,1456,-0.086226972,-1.810766416,0.00757821
2,Soap,1685,-0.081465463,-1.710774733,0.00397119
3,Soap,1467,-0.085998253,-1.805963322,0.002271729
7,Soap,1635,-0.082505094,-1.732606978,0.000676316
9,Soap,1365,-0.0881191,-1.850501102,0.008375916
14,Soap,1389,-0.087620077,-1.840021624,-0.000260122
15,Soap,1330,-0.088846842,-1.865783674,0.001890217
16,Soap,1551,-0.084251674,-1.76928515,0.022353118
17,Soap,1461,-0.086123009,-1.808583191,0.004491433
18,Soap,1484,-0.085644779,-1.798540358,0.012780642
22,Soap,1836,-0.078325779,-1.644841352,0.068411986
23,Soap,1379,-0.087828003,-1.844388073,0.001647437
24,Soap,1458,-0.086185387,-1.809893126,0.010040695
25,Soap,1391,-0.087578492,-1.839148335,0.001994266
26,Soap,1349,-0.088451782,-1.85748742,0.001265925
28,Soap,1365,-0.0881191,-1.850501102,0.000780365
29,Soap,1417,-0.087037884,-1.827795567,0.005601286
32,Soap,1477,-0.085790327,-1.801596873,0.014272006
35,Soap,1412,-0.087141847,-1.829978792,0.005115725
90,DNA_Zap,1338,-0.088680501,-1.862290514,0.00012139
92,DNA_Zap,1323,-0.08899239,-1.868840188,1.73414E-05
2,DNA_Zap,1322,-0.089013183,-1.869276833,0.000260122
3,DNA_Zap,1420,-0.086975506,-1.826485632,0.000260122
7,DNA_Zap,1316,-0.089137938,-1.871896702,-0.000156073
9,DNA_Zap,1368,-0.088056722,-1.849191167,1.73414E-05
14,DNA_Zap,1322,-0.089013183,-1.869276833,0.020168096
15,DNA_Zap,1317,-0.089117146,-1.871460057,-0.000260122
16,DNA_Zap,1346,-0.08851416,-1.858797355,0.00012139
17,DNA_Zap,1347,-0.088493367,-1.85836071,0.000190756
18,DNA_Zap,1334,-0.088763671,-1.864037094,0.000294805
22,DNA_Zap,1356,-0.088306234,-1.854430906,0.000502902
23,DNA_Zap,1425,-0.086871543,-1.824302408,0.000572268
24,DNA_Zap,1294,-0.089595376,-1.88150289,-0.001300608
25,DNA_Zap,1305,-0.089366657,-1.876699796,-0.000780365
26,DNA_Zap,1356,-0.088306234,-1.854430906,-0.00143934
28,DNA_Zap,1359,-0.088243856,-1.853120971,0.002202363
29,DNA_Zap,1339,-0.088659708,-1.86185387,0.00012139
32,DNA_Zap,1325,-0.088950805,-1.867966898,0.000676316
35,DNA_Zap,1325,-0.088950805,-1.867966898,0.000780365
90,UV,1359,-0.088243856,-1.853120971,0.002202363
92,UV,1348,-0.088472575,-1.857924065,0.000780365
2,UV,1367,-0.088077515,-1.849627812,-5.20243E-05
3,UV,1329,-0.088867634,-1.866220319,0.00397119
7,UV,1095,-0.093733106,-1.968395226,0.001578071
9,UV,1368,-0.088056722,-1.849191167,0.001647437
14,UV,1325,-0.088950805,-1.867966898,0.00036417
15,UV,2171,-0.071360253,-1.49856531,0.003624361
16,UV,1326,-0.088930012,-1.867530253,-5.20243E-05
17,UV,1341,-0.088618123,-1.86098058,0.000572268
18,UV,1541,-0.0844596,-1.773651599,0.001369974
22,UV,1379,-0.087828003,-1.844388073,0.000260122
23,UV,1368,-0.088056722,-1.849191167,0.000710999
24,UV,1346,-0.08851416,-1.858797355,0.001404657
25,UV,1349,-0.088451782,-1.85748742,0.00143934
26,UV,1356,-0.088306234,-1.854430906,0.000329487
28,UV,1262,-0.090260739,-1.895475527,0.000433536
29,UV,1296,-0.08955379,-1.8806296,0.002687923
32,UV,1282,-0.089844887,-1.886742629,0.000884414
35,UV,1179,-0.091986526,-1.931717054,0.000919096
