y,x
261,55539
233,58640
227,58663
219,55540
174,58645
197,58652
200,55383
278,55539
218,58640
222,58663
214,55540
171,58645
191,58652
194,55383
258,55539
221,58640
216,58663
225,55540
169,58645
191,58652
195,55383
247,55539
209,58640
225,58663
235,55540
168,58645
196,58652
202,55383
253,55539
202,58640
232,58663
226,55540
167,58645
201,58652
203,55383
272,55555
267,55555
251,55555
251,55555
261,55555
271,55587
257,55587
260,55587
248,55587
249,55587
217,55543
220,55543
218,55543
210,55543
221,55543
